area,crm_cd,vict_age,vict_sex,vict_descent,premis_cd,month,day,temp,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,uvindex,moonphase,conditions,sunset_time_difference,sunrise_time_difference,hour_crime_occ
9,624,55,F,H,108,11,20,17.1,19.2,0.0,5.2,349.2,1020.3,0.9,16.0,4,0.9,Clear,15,5,2
14,624,45,F,B,101,10,14,19.2,82.1,0.0,5.3,205.7,1011.1,98.4,14.6,3,0.66,Overcast,8,4,11
20,624,34,F,H,502,7,31,23.1,59.7,0.14,16.6,275.5,1011.6,0.9,13.9,10,0.4,Rain,20,6,0
9,624,20,F,H,502,5,16,17.8,69.9,0.0,18.9,227.2,1013.0,26.8,15.1,9,0.52,Partially cloudy,4,10,16
21,624,44,M,O,502,8,2,23.0,69.8,0.0,8.9,269.3,1013.6,8.9,10.9,10,0.47,Clear,1,13,19
14,624,46,M,H,502,4,17,16.5,66.9,0.0,9.9,267.7,1014.0,25.2,15.3,10,0.19,Partially cloudy,5,8,14
21,624,60,F,A,501,2,12,15.6,61.9,0.083,27.2,294.4,1012.9,38.3,13.2,7,0.03,"Rain, Partially cloudy",4,7,14
6,624,20,F,W,102,3,19,15.3,74.1,0.064,17.7,240.2,1015.3,39.3,15.4,8,0.55,"Rain, Partially cloudy",3,9,16
21,624,72,M,O,501,5,10,19.4,70.0,0.0,12.7,262.3,1014.0,62.9,5.3,10,0.61,Partially cloudy,5,9,15
3,624,20,M,O,102,1,11,12.8,67.3,0.0,7.8,36.2,1020.3,26.1,15.4,5,0.54,Partially cloudy,3,7,14
3,624,51,F,H,101,11,14,14.6,51.9,0.0,8.4,282.4,1019.2,1.0,16.0,4,0.71,Clear,2,9,15
5,624,20,M,H,101,5,8,17.5,68.5,0.0,13.3,230.2,1016.6,25.7,15.7,7,0.61,Partially cloudy,2,16,22
12,624,20,F,H,102,6,13,21.2,64.1,0.0,11.1,287.4,1011.6,16.3,15.3,10,0.12,Clear,3,12,17
14,624,25,F,H,101,4,26,16.9,75.6,0.0,13.1,249.0,1014.2,50.5,11.9,9,0.21,Partially cloudy,2,16,22
1,624,39,F,W,502,4,26,22.8,57.8,0.0,10.6,258.6,1013.1,2.9,11.3,10,0.13,Clear,2,11,17
20,624,21,F,B,502,6,4,18.2,74.3,0.0,9.9,223.4,1012.6,90.7,15.9,9,0.18,Overcast,20,6,0
4,624,23,F,H,203,3,24,15.0,40.3,0.0,26.7,301.4,1022.6,2.0,16.0,7,0.1,Clear,2,10,17
19,624,41,M,B,502,9,24,18.9,75.6,0.0,11.9,280.4,1013.4,29.3,12.9,8,0.62,Partially cloudy,1,11,18
9,624,34,F,W,501,12,2,13.7,84.1,2.432,11.2,92.2,1019.6,95.8,11.8,2,0.31,"Rain, Overcast",4,14,21
18,624,37,F,B,501,7,29,22.4,69.8,0.0,11.8,241.7,1011.8,3.3,16.0,6,0.04,Clear,1,14,20
13,624,35,F,H,203,5,3,17.1,69.9,0.0,22.9,247.5,1012.5,54.6,15.8,6,0.1,Partially cloudy,1,12,18
4,624,28,F,H,101,4,16,14.3,76.9,0.0,14.1,230.0,1018.5,45.8,15.6,9,0.88,Partially cloudy,5,8,15
21,624,31,M,H,502,10,1,17.7,63.1,0.0,10.6,180.9,1012.1,51.4,16.0,3,0.58,Partially cloudy,3,15,22
15,624,52,M,W,108,6,30,21.7,70.5,0.0,20.0,248.9,1011.8,41.5,15.7,10,0.7,Partially cloudy,1,14,19
18,624,61,M,H,501,6,18,19.1,60.5,0.0,27.5,240.2,1011.9,24.7,16.0,10,0.65,Partially cloudy,4,10,16
1,624,46,F,H,101,6,20,23.4,49.0,0.0,13.5,254.1,1011.1,0.2,15.8,10,0.75,Clear,9,5,11
19,624,33,F,H,101,3,8,12.0,65.2,0.0,12.6,249.5,1020.4,27.6,15.4,5,0.55,Partially cloudy,10,2,8
12,624,37,F,H,108,8,16,24.3,65.0,0.0,18.9,263.2,1009.3,1.7,9.5,9,0.29,Clear,11,2,8
9,624,46,F,H,101,12,14,11.1,86.0,51.63,22.9,216.3,1014.1,69.5,9.9,1,0.35,"Rain, Partially cloudy",2,8,14
3,624,33,F,W,101,4,21,15.2,70.3,0.0,17.5,245.1,1016.1,22.5,16.0,9,0.68,Partially cloudy,7,6,13
18,624,52,M,B,502,1,1,11.4,59.2,0.0,9.9,332.4,1019.0,27.0,15.5,6,0.97,Partially cloudy,17,7,0
6,624,50,M,O,101,5,31,18.4,70.6,0.0,11.6,257.3,1013.8,61.5,15.4,10,0.68,Partially cloudy,3,11,17
15,624,21,M,O,108,6,19,19.8,67.4,0.0,15.7,264.1,1013.1,58.2,15.9,10,0.95,Partially cloudy,18,4,2
10,624,17,M,O,502,4,11,16.1,69.0,0.0,25.4,248.5,1011.1,87.9,15.0,6,0.34,Partially cloudy,12,1,7
18,624,67,M,B,502,1,22,11.0,54.3,0.0,11.2,346.1,1016.3,1.8,16.0,6,0.03,Clear,1,11,18
13,624,28,M,H,102,12,29,11.3,58.8,0.0,13.4,339.0,1019.0,0.9,16.0,5,0.5,Clear,2,8,15
8,624,14,F,O,101,1,4,12.6,78.6,0.0,10.0,269.8,1021.1,19.5,12.1,5,0.7,Clear,1,9,16
5,624,71,M,B,502,1,20,15.1,60.8,0.0,11.7,261.8,1022.2,0.5,13.8,6,0.6,Clear,4,14,21
7,624,26,M,B,502,10,17,17.4,56.6,0.0,17.8,255.1,1014.5,14.4,16.0,7,0.4,Clear,1,12,19
7,624,40,F,H,101,1,27,14.2,40.4,0.0,8.1,312.5,1021.2,1.4,15.8,6,0.85,Clear,1,10,16
15,624,54,F,H,502,7,14,21.9,67.1,0.0,12.5,262.6,1013.6,43.5,15.2,10,0.81,Partially cloudy,1,15,21
2,624,38,M,H,101,4,16,14.3,76.9,0.0,14.1,230.0,1018.5,45.8,15.6,9,0.88,Partially cloudy,0,13,19
8,624,35,M,B,101,1,7,13.4,65.5,0.0,9.0,261.9,1018.2,2.6,14.1,5,0.81,Clear,14,4,3
21,624,52,M,O,502,9,21,21.4,60.1,0.0,23.3,257.7,1013.1,1.1,16.0,9,0.87,Clear,10,3,9
13,624,33,M,H,108,12,22,14.8,66.3,0.0,6.8,41.6,1017.1,10.6,14.1,5,0.26,Clear,3,6,13
1,624,34,M,H,101,3,18,17.7,51.9,0.0,10.7,252.9,1016.1,2.0,15.9,8,0.5,Clear,6,6,13
6,624,28,M,H,102,1,13,14.5,58.6,0.0,8.4,283.0,1020.1,5.2,15.9,3,0.73,Clear,0,10,17
18,624,31,M,H,101,5,22,17.8,80.5,0.0,15.4,229.3,1013.6,96.1,12.2,6,0.1,Overcast,6,8,14
18,624,32,M,H,501,8,14,24.3,56.6,0.0,14.2,246.6,1011.9,1.9,16.0,9,0.59,Clear,5,8,14
14,624,34,M,W,101,11,9,15.9,77.9,0.0,13.4,271.5,1021.9,54.6,12.9,4,0.17,Partially cloudy,0,10,16
20,624,63,F,H,102,10,28,17.6,67.6,0.0,15.9,245.2,1019.4,2.1,15.6,7,0.12,Clear,2,9,16
